work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-unbalanced-1, 10, 400, 10, 10, 352.81, 8.29393119, , 0, , 26.2, 26.2
unbalanced-1, 10, 400, 10, 10, 438.16, 9.20832838, 17, 6.766209, 63579, 30.0, 32.0
base-unbalanced-1, 10, 400, 10, 10, 293.08, 6.59102321, , 0, , 30.4, 29.6
unbalanced-1, 10, 400, 10, 10, 404.97, 9.00482020, 20, 6.04804200000001, 74576, 32.2, 29.1
base-unbalanced-1, 10, 400, 10, 10, 393.68, 6.89870679, , 0, , 32.0, 29.6
unbalanced-1, 10, 400, 10, 10, 397.59, 8.99104681, 36, 3.10571400000001, 133599, 36.4, 31.0
base-unbalanced-1, 10, 400, 10, 10, 328.93, 6.71588579, , 0, , 32.2, 29.6
unbalanced-1, 10, 400, 10, 10, 430.33, 9.06029262, 14, 5.112948, 52493, 31.5, 30.1
base-unbalanced-1, 10, 400, 10, 10, 410.40, 6.94068426, , 0, , 32.5, 29.1
unbalanced-1, 10, 400, 10, 10, 495.92, 9.32821838, 12, 4.970264, 45244, 32.5, 30.5
base-unbalanced-1, 10, 400, 10, 10, 301.41, 6.65158030, , 0, , 33.5, 30.4
unbalanced-1, 10, 400, 10, 10, 465.60, 9.20760219, 16, 6.357719, 59730, 32.5, 29.6
base-unbalanced-1, 10, 400, 10, 10, 382.04, 6.86388918, , 0, , 33.5, 32.0
unbalanced-1, 10, 400, 10, 10, 399.51, 8.98835727, 18, 6.528147, 67219, 32.5, 30.5
base-unbalanced-1, 10, 400, 10, 10, 291.51, 6.63317930, , 0, , 33.0, 30.1
unbalanced-1, 10, 400, 10, 10, 411.67, 9.02059825, 20, 7.27292300000001, 74597, 31.5, 29.6
base-unbalanced-1, 10, 400, 10, 10, 302.35, 6.61597620, , 0, , 30.6, 29.1
unbalanced-1, 10, 400, 10, 10, 407.82, 8.97596777, 18, 5.892053, 67442, 31.1, 30.5
base-unbalanced-1, 10, 400, 10, 10, 301.51, 6.61775033, , 0, , 34.5, 32.5
unbalanced-1, 10, 400, 10, 10, 414.67, 9.02690540, 22, 7.33022800000001, 81872, 31.5, 30.1
base-unbalanced-1, 10, 400, 10, 10, 292.75, 6.64564330, , 0, , 34.0, 33.2
unbalanced-1, 10, 400, 10, 10, 409.59, 9.01358307, 20, 3.864863, 74640, 31.8, 29.6
base-unbalanced-1, 10, 400, 10, 10, 292.88, 6.60907062, , 0, , 33.0, 31.2
unbalanced-1, 10, 400, 10, 10, 409.63, 9.02884148, 14, 8.141745, 52478, 31.5, 29.6
base-unbalanced-1, 10, 400, 10, 10, 300.64, 6.60700206, , 0, , 36.9, 34.9
unbalanced-1, 10, 400, 10, 10, 401.24, 8.98620550, 21, 6.26705100000001, 78397, 31.5, 29.6
base-unbalanced-1, 10, 400, 10, 10, 301.68, 6.60971043, , 0, , 38.6, 33.8
unbalanced-1, 10, 400, 10, 10, 509.97, 9.47678934, 30, 4.473411, 111590, 31.5, 30.5
base-unbalanced-1, 10, 400, 10, 10, 452.68, 7.23287368, , 0, , 39.9, 36.4
unbalanced-1, 10, 400, 10, 10, 505.31, 9.41919741, 17, 8.481987, 63561, 43.2, 40.6
base-unbalanced-1, 10, 400, 10, 10, 478.97, 7.32704407, , 0, , 37.4, 34.9
unbalanced-1, 10, 400, 10, 10, 724.50, 9.78553639, 27, 4.08788800000001, 100541, 59.5, 43.2
base-unbalanced-1, 10, 400, 10, 10, 401.85, 7.00448171, , 0, , 42.2, 41.4
unbalanced-1, 10, 400, 10, 10, 528.37, 9.45788901, 14, 3.445131, 52592, 44.8, 33.5
base-unbalanced-1, 10, 400, 10, 10, 365.18, 6.81322610, , 0, , 35.9, 32.5
unbalanced-1, 10, 400, 10, 10, 467.80, 9.16074708, 17, 2.91948500000001, 63616, 40.2, 34.1
base-unbalanced-1, 10, 400, 10, 10, 515.77, 7.18274843, , 0, , 35.2, 31.0
unbalanced-1, 10, 400, 10, 10, 645.15, 9.53789292, 15, 6.065291, 56097, 43.2, 38.8
base-unbalanced-1, 10, 400, 10, 10, 456.86, 6.92335876, , 0, , 42.2, 39.2
unbalanced-1, 10, 400, 10, 10, 624.13, 9.73264698, 36, 3.337896, 133628, 42.8, 40.1
base-unbalanced-1, 10, 400, 10, 10, 485.39, 7.13295081, , 0, , 42.2, 39.2
unbalanced-1, 10, 400, 10, 10, 808.60, 10.41661330, 14, 7.46275800000001, 52469, 37.4, 34.9
base-unbalanced-1, 10, 400, 10, 10, 386.66, 6.93323804, , 0, , 38.6, 36.6
unbalanced-1, 10, 400, 10, 10, 486.13, 9.23551037, 16, 6.79625200000001, 60025, 34.9, 32.5
base-unbalanced-1, 10, 400, 10, 10, 383.58, 6.92245368, , 0, , 38.9, 36.1
unbalanced-1, 10, 400, 10, 10, 444.30, 9.13133027, 26, 6.424633, 96744, 54.9, 32.0
base-unbalanced-1, 10, 400, 10, 10, 339.36, 6.76327184, , 0, , 34.4, 31.6
unbalanced-1, 10, 400, 10, 10, 543.10, 9.53519758, 34, 4.856978, 126726, 44.2, 33.9
base-unbalanced-1, 10, 400, 10, 10, 354.90, 6.79108949, , 0, , 34.0, 31.5
unbalanced-1, 10, 400, 10, 10, 516.08, 9.36695847, 31, 6.36835000000001, 115328, 43.6, 36.4
base-unbalanced-1, 10, 400, 10, 10, 326.37, 6.69550501, , 0, , 37.4, 33.5
unbalanced-1, 10, 400, 10, 10, 798.94, 10.46828319, 21, 5.911294, 78233, 48.6, 38.5
base-unbalanced-1, 10, 400, 10, 10, 501.59, 7.22417271, , 0, , 39.4, 38.0
unbalanced-1, 10, 400, 10, 10, 545.72, 9.33457928, 21, 6.712732, 78435, 37.4, 35.6
base-unbalanced-1, 10, 400, 10, 10, 409.07, 6.96749219, , 0, , 38.9, 40.9
unbalanced-1, 10, 400, 10, 10, 997.31, 11.18460119, 16, 7.82438900000001, 59895, 45.0, 37.0
base-unbalanced-1, 10, 400, 10, 10, 517.81, 7.25884805, , 0, , 48.0, 45.5
unbalanced-1, 10, 400, 10, 10, 840.34, 10.70958271, 16, 6.49057400000001, 59897, 45.5, 42.2
base-unbalanced-1, 10, 400, 10, 10, 347.59, 6.75236706, , 0, , 39.1, 36.1
unbalanced-1, 10, 400, 10, 10, 450.19, 9.14488795, 17, 7.12029800000001, 63687, 36.9, 34.9
base-unbalanced-1, 10, 400, 10, 10, 501.60, 7.57592877, , 0, , 36.9, 31.8
base-unbalanced-1, 10, 400, 25, 10, 512.73, 7.45903913, , 0, , 42.8, 35.9
unbalanced-1, 10, 400, 25, 10, 821.42, 10.49489813, 60, 6.57393500000001, 222331, 41.5, 42.2
base-unbalanced-1, 10, 400, 25, 10, 675.68, 8.00518699, , 0, , 44.6, 41.9
unbalanced-1, 10, 400, 25, 10, 957.62, 11.44908430, 66, 6.68695000000001, 243953, 47.9, 42.1
base-unbalanced-1, 10, 400, 25, 10, 651.10, 7.98747550, , 0, , 45.2, 43.8
unbalanced-1, 10, 400, 25, 10, 543.48, 9.66734758, 69, 4.26732, 255739, 45.0, 38.5
base-unbalanced-1, 10, 400, 25, 10, 325.84, 6.81659497, , 0, , 38.6, 40.1
unbalanced-1, 10, 400, 25, 10, 463.52, 9.37661161, 43, 5.43025400000001, 159384, 32.2, 33.0
base-unbalanced-1, 10, 400, 25, 10, 324.88, 6.87662115, , 0, , 36.9, 39.2
unbalanced-1, 10, 400, 25, 10, 464.67, 9.38894688, 47, 7.43126700000001, 174264, 32.5, 34.1
base-unbalanced-1, 10, 400, 25, 10, 357.95, 6.98312387, , 0, , 34.9, 36.1
unbalanced-1, 10, 400, 25, 10, 438.14, 9.28916263, 30, 2.323369, 111610, 34.2, 35.1
base-unbalanced-1, 10, 400, 25, 10, 355.82, 6.95125714, , 0, , 34.5, 39.4
unbalanced-1, 10, 400, 25, 10, 476.18, 9.42235585, 37, 4.04143400000001, 137460, 32.0, 33.9
base-unbalanced-1, 10, 400, 25, 10, 362.34, 6.95789078, , 0, , 34.0, 35.6
unbalanced-1, 10, 400, 25, 10, 437.68, 9.27826931, 39, 5.06723600000001, 144513, 34.0, 36.1
base-unbalanced-1, 10, 400, 25, 10, 328.67, 6.72450179, , 0, , 36.4, 34.1
unbalanced-1, 10, 400, 25, 10, 432.66, 9.13222246, 61, 4.18903, 225980, 34.4, 31.1
base-unbalanced-1, 10, 400, 25, 10, 332.71, 6.75882975, , 0, , 37.4, 36.1
unbalanced-1, 10, 400, 25, 10, 466.02, 9.22798963, 56, 6.285821, 207284, 34.4, 32.5
base-unbalanced-1, 10, 400, 25, 10, 354.78, 6.87098365, , 0, , 35.4, 33.2
unbalanced-1, 10, 400, 25, 10, 907.04, 10.71982079, 29, 5.961113, 107905, 40.1, 33.5
base-unbalanced-1, 10, 400, 25, 10, 654.98, 7.88062776, , 0, , 44.1, 42.1
unbalanced-1, 10, 400, 25, 10, 694.22, 10.21558865, 54, 5.379706, 200422, 46.4, 43.0
base-unbalanced-1, 10, 400, 25, 10, 466.67, 7.39214363, , 0, , 49.5, 43.0
unbalanced-1, 10, 400, 25, 10, 592.16, 9.79086512, 32, 5.30717800000001, 118764, 51.1, 41.4
base-unbalanced-1, 10, 400, 25, 10, 363.32, 6.89322961, , 0, , 40.8, 35.6
unbalanced-1, 10, 400, 25, 10, 643.02, 9.97978680, 48, 5.91429100000001, 178188, 41.8, 35.6
base-unbalanced-1, 10, 400, 25, 10, 321.28, 6.71436364, , 0, , 37.4, 32.5
unbalanced-1, 10, 400, 25, 10, 450.75, 9.19837728, 43, 6.61206, 159649, 34.4, 31.5
base-unbalanced-1, 10, 400, 25, 10, 359.10, 6.84122625, , 0, , 34.5, 31.5
unbalanced-1, 10, 400, 25, 10, 528.27, 9.56177577, 31, 5.97376700000001, 115349, 34.0, 32.5
base-unbalanced-1, 10, 400, 25, 10, 372.48, 6.98008983, , 0, , 37.4, 34.4
unbalanced-1, 10, 400, 25, 10, 428.66, 9.15385832, 91, 4.327022, 336569, 41.8, 33.8
base-unbalanced-1, 10, 400, 25, 10, 428.39, 7.16024139, , 0, , 36.4, 33.0
unbalanced-1, 10, 400, 25, 10, 470.08, 9.30174766, 34, 6.000162, 126673, 60.4, 33.0
base-unbalanced-1, 10, 400, 25, 10, 328.19, 6.78117161, , 0, , 35.4, 31.0
unbalanced-1, 10, 400, 25, 10, 653.61, 9.98055255, 35, 7.593512, 130210, 43.0, 33.0
base-unbalanced-1, 10, 400, 25, 10, 483.66, 7.27849219, , 0, , 38.4, 34.5
unbalanced-1, 10, 400, 25, 10, 674.43, 9.95644261, 37, 6.32937, 137563, 42.8, 34.4
base-unbalanced-1, 10, 400, 25, 10, 366.17, 6.93635732, , 0, , 38.6, 34.9
unbalanced-1, 10, 400, 25, 10, 507.63, 9.48147574, 78, 3.99876, 288321, 40.4, 36.9
base-unbalanced-1, 10, 400, 25, 10, 315.12, 6.69007971, , 0, , 44.0, 34.1
unbalanced-1, 10, 400, 25, 10, 551.03, 9.63271534, 29, 4.397694, 107894, 50.0, 38.2
base-unbalanced-1, 10, 400, 25, 10, 365.72, 6.95518278, , 0, , 33.5, 32.5
unbalanced-1, 10, 400, 25, 10, 430.92, 9.13620902, 74, 5.122567, 273963, 35.2, 33.0
base-unbalanced-1, 10, 400, 25, 10, 293.52, 6.63730036, , 0, , 35.9, 34.4
unbalanced-1, 10, 400, 25, 10, 506.59, 9.46674134, 40, 6.422692, 148484, 34.0, 31.0
base-unbalanced-1, 10, 400, 25, 10, 291.62, 6.69142262, , 0, , 51.1, 32.0
unbalanced-1, 10, 400, 25, 10, 400.66, 9.04707574, 58, 6.488912, 215112, 48.0, 41.6
base-unbalanced-1, 10, 400, 25, 10, 281.84, 6.59770851, , 0, , 40.2, 37.2
unbalanced-1, 10, 400, 25, 10, 800.74, 10.64012818, 41, 5.001254, 152048, 39.4, 38.8
base-unbalanced-1, 10, 400, 25, 10, 327.25, 6.77875063, , 0, , 35.4, 33.0
unbalanced-1, 10, 400, 25, 10, 569.52, 9.77089971, 87, 3.765873, 321662, 34.2, 31.5
base-unbalanced-1, 10, 400, 25, 10, 438.54, 7.24210446, , 0, , 45.6, 41.9
unbalanced-1, 10, 400, 25, 10, 432.88, 9.13124098, 46, 4.415752, 170604, 33.0, 31.5
base-unbalanced-1, 10, 400, 25, 10, 466.00, 7.35995468, , 0, , 33.0, 31.5
unbalanced-1, 10, 400, 25, 10, 658.07, 10.01806905, 84, 4.188619, 310391, 38.9, 34.4
base-unbalanced-1, 10, 400, 25, 10, 499.94, 7.28121703, , 0, , 35.2, 33.5
unbalanced-1, 10, 400, 25, 10, 645.53, 9.98507668, 58, 6.44386800000001, 214911, 36.9, 34.4
base-unbalanced-1, 10, 400, 25, 10, 294.86, 6.69595489, , 0, , 37.1, 33.4
base-unbalanced-1, 10, 200, 10, 10, 473.02, 7.34292422, , 0, , 36.4, 32.5
unbalanced-1, 10, 200, 10, 10, 776.77, 9.97736364, 13, 6.891948, 24516, 40.1, 40.4
base-unbalanced-1, 10, 200, 10, 10, 625.53, 7.66468253, , 0, , 50.6, 38.5
unbalanced-1, 10, 200, 10, 10, 667.45, 9.85086773, 17, 9.18046000000001, 31822, 37.9, 35.4
base-unbalanced-1, 10, 200, 10, 10, 545.52, 7.43142424, , 0, , 38.9, 34.6
unbalanced-1, 10, 200, 10, 10, 646.71, 9.90616407, 17, 4.99422300000001, 31798, 38.4, 35.9
base-unbalanced-1, 10, 200, 10, 10, 304.96, 6.65040819, , 0, , 38.9, 33.9
unbalanced-1, 10, 200, 10, 10, 439.00, 9.16742944, 26, 8.681584, 48353, 34.0, 31.5
base-unbalanced-1, 10, 200, 10, 10, 354.33, 6.94127110, , 0, , 41.5, 37.8
unbalanced-1, 10, 200, 10, 10, 439.93, 9.22361430, 27, 9.59972400000001, 50149, 33.5, 31.5
base-unbalanced-1, 10, 200, 10, 10, 342.07, 6.87900352, , 0, , 33.0, 31.0
unbalanced-1, 10, 200, 10, 10, 459.00, 9.23101901, 29, 7.125755, 54046, 35.9, 32.5
base-unbalanced-1, 10, 200, 10, 10, 340.33, 6.81558043, , 0, , 34.5, 32.0
unbalanced-1, 10, 200, 10, 10, 442.78, 9.13884012, 12, 9.78539600000001, 22445, 35.8, 32.0
base-unbalanced-1, 10, 200, 10, 10, 336.76, 6.79620347, , 0, , 33.5, 31.5
unbalanced-1, 10, 200, 10, 10, 495.65, 9.34611830, 14, 8.96781300000001, 26329, 35.0, 33.0
base-unbalanced-1, 10, 200, 10, 10, 303.20, 6.69087249, , 0, , 33.0, 31.5
unbalanced-1, 10, 200, 10, 10, 459.60, 9.26538853, 17, 7.763137, 31620, 34.5, 32.0
base-unbalanced-1, 10, 200, 10, 10, 324.69, 6.73058409, , 0, , 33.2, 31.0
unbalanced-1, 10, 200, 10, 10, 457.21, 9.25512517, 13, 8.06298200000001, 24460, 34.0, 32.0
base-unbalanced-1, 10, 200, 10, 10, 343.41, 6.85218444, , 0, , 33.0, 31.5
unbalanced-1, 10, 200, 10, 10, 428.16, 9.14789564, 20, 6.615701, 37326, 34.0, 31.5
base-unbalanced-1, 10, 200, 10, 10, 375.25, 6.92600185, , 0, , 33.0, 31.0
unbalanced-1, 10, 200, 10, 10, 440.51, 9.21850727, 16, 9.55313600000001, 29915, 38.9, 32.5
base-unbalanced-1, 10, 200, 10, 10, 313.18, 6.69484898, , 0, , 32.5, 30.1
unbalanced-1, 10, 200, 10, 10, 436.25, 9.20532192, 17, 5.201132, 31767, 34.5, 31.5
base-unbalanced-1, 10, 200, 10, 10, 323.33, 6.78435679, , 0, , 36.9, 33.5
unbalanced-1, 10, 200, 10, 10, 419.21, 9.11020187, 22, 8.760587, 41106, 34.4, 32.0
base-unbalanced-1, 10, 200, 10, 10, 307.42, 6.70138513, , 0, , 32.0, 31.0
unbalanced-1, 10, 200, 10, 10, 440.79, 9.17272284, 32, 7.78794400000001, 59466, 34.5, 31.5
base-unbalanced-1, 10, 200, 10, 10, 397.44, 7.07392709, , 0, , 35.0, 33.0
unbalanced-1, 10, 200, 10, 10, 593.60, 9.73784538, 20, 12.941248, 37334, 34.0, 31.0
base-unbalanced-1, 10, 200, 10, 10, 383.44, 6.97713335, , 0, , 35.9, 33.4
unbalanced-1, 10, 200, 10, 10, 432.07, 9.12361273, 36, 5.87581, 66682, 34.2, 31.5
base-unbalanced-1, 10, 200, 10, 10, 326.28, 6.81582026, , 0, , 33.5, 31.5
unbalanced-1, 10, 200, 10, 10, 482.95, 9.35495790, 15, 6.736379, 28100, 32.5, 31.0
base-unbalanced-1, 10, 200, 10, 10, 347.02, 6.85953003, , 0, , 35.4, 32.5
unbalanced-1, 10, 200, 10, 10, 413.50, 9.08280554, 15, 7.756889, 28084, 32.5, 30.5
base-unbalanced-1, 10, 200, 10, 10, 320.40, 6.74079234, , 0, , 33.5, 31.0
unbalanced-1, 10, 200, 10, 10, 551.30, 9.55516409, 26, 9.084174, 48555, 58.5, 35.6
base-unbalanced-1, 10, 200, 10, 10, 339.03, 6.88900247, , 0, , 32.5, 31.5
unbalanced-1, 10, 200, 10, 10, 509.65, 9.47379940, 18, 9.044888, 33607, 38.4, 36.4
base-unbalanced-1, 10, 200, 10, 10, 405.90, 7.04982796, , 0, , 34.5, 31.5
unbalanced-1, 10, 200, 10, 10, 514.49, 9.49713138, 25, 6.610468, 46470, 35.0, 32.5
base-unbalanced-1, 10, 200, 10, 10, 369.33, 6.88939602, , 0, , 34.5, 31.5
unbalanced-1, 10, 200, 10, 10, 448.02, 9.22593237, 24, 6.395759, 44912, 35.0, 32.0
base-unbalanced-1, 10, 200, 10, 10, 431.57, 7.18851382, , 0, , 35.4, 32.5
unbalanced-1, 10, 200, 10, 10, 462.60, 9.28322591, 22, 8.13360400000001, 41107, 35.2, 31.5
base-unbalanced-1, 10, 200, 10, 10, 341.42, 6.76250722, , 0, , 44.5, 32.5
unbalanced-1, 10, 200, 10, 10, 448.84, 9.17243757, 25, 4.158911, 46420, 34.5, 32.0
base-unbalanced-1, 10, 200, 10, 10, 314.32, 6.69435430, , 0, , 33.5, 31.5
unbalanced-1, 10, 200, 10, 10, 555.28, 9.66628677, 23, 6.33947500000001, 42946, 33.5, 31.5
base-unbalanced-1, 10, 200, 10, 10, 329.74, 6.73935021, , 0, , 33.5, 31.0
unbalanced-1, 10, 200, 10, 10, 417.39, 9.07597774, 15, 9.216234, 28044, 33.5, 31.5
base-unbalanced-1, 10, 200, 10, 10, 327.45, 6.73521234, , 0, , 34.2, 32.0
unbalanced-1, 10, 200, 10, 10, 478.84, 9.26719323, 18, 7.97406000000001, 33580, 39.9, 36.9
base-unbalanced-1, 10, 200, 10, 10, 303.12, 6.65755509, , 0, , 33.8, 31.0
unbalanced-1, 10, 200, 10, 10, 393.47, 8.96618044, 19, 7.714541, 35446, 32.5, 31.5
base-unbalanced-1, 10, 200, 10, 10, 291.15, 6.64442811, , 0, , 32.5, 31.0
unbalanced-1, 10, 200, 10, 10, 411.33, 9.03283496, 18, 5.00424100000001, 33606, 32.5, 31.0
base-unbalanced-1, 10, 200, 10, 10, 297.93, 6.63760636, , 0, , 32.5, 31.0
base-unbalanced-1, 10, 200, 25, 10, 289.08, 6.66081936, , 0, , 32.5, 30.5
unbalanced-1, 10, 200, 25, 10, 407.12, 9.09540381, 43, 6.020937, 79824, 32.5, 30.5
base-unbalanced-1, 10, 200, 25, 10, 285.34, 6.59188727, , 0, , 35.4, 31.5
unbalanced-1, 10, 200, 25, 10, 411.20, 9.08524260, 47, 4.915609, 87085, 33.0, 30.5
base-unbalanced-1, 10, 200, 25, 10, 294.76, 6.62284107, , 0, , 33.5, 31.5
unbalanced-1, 10, 200, 25, 10, 406.94, 9.03872964, 54, 5.30404300000001, 99864, 32.0, 30.5
base-unbalanced-1, 10, 200, 25, 10, 298.90, 6.60579875, , 0, , 32.0, 31.0
unbalanced-1, 10, 200, 25, 10, 417.34, 9.03525384, 40, 4.10632200000001, 74235, 31.5, 30.5
base-unbalanced-1, 10, 200, 25, 10, 291.60, 6.64915038, , 0, , 33.0, 31.5
unbalanced-1, 10, 200, 25, 10, 489.19, 9.34510851, 53, 6.64600200000001, 98210, 33.5, 31.0
base-unbalanced-1, 10, 200, 25, 10, 371.66, 6.88866717, , 0, , 33.0, 31.5
unbalanced-1, 10, 200, 25, 10, 466.47, 9.26199678, 34, 6.25035800000001, 62910, 35.2, 31.5
base-unbalanced-1, 10, 200, 25, 10, 362.06, 6.84304091, , 0, , 33.5, 31.0
unbalanced-1, 10, 200, 25, 10, 440.83, 9.15839427, 67, 3.477862, 124040, 33.2, 30.5
base-unbalanced-1, 10, 200, 25, 10, 356.22, 6.87934683, , 0, , 33.5, 31.0
unbalanced-1, 10, 200, 25, 10, 494.17, 9.35849155, 44, 5.21033800000001, 81526, 34.2, 32.0
base-unbalanced-1, 10, 200, 25, 10, 338.63, 6.79250670, , 0, , 33.5, 31.5
unbalanced-1, 10, 200, 25, 10, 469.04, 9.26886790, 64, 4.318157, 118407, 35.4, 32.5
base-unbalanced-1, 10, 200, 25, 10, 359.52, 6.84358147, , 0, , 34.2, 31.5
unbalanced-1, 10, 200, 25, 10, 514.74, 9.42328030, 49, 7.53390300000001, 90749, 36.4, 32.0
base-unbalanced-1, 10, 200, 25, 10, 378.81, 6.96609987, , 0, , 33.5, 32.5
unbalanced-1, 10, 200, 25, 10, 467.81, 9.27407148, 59, 5.096047, 109254, 33.5, 31.0
base-unbalanced-1, 10, 200, 25, 10, 507.01, 7.47558291, , 0, , 34.2, 31.5
unbalanced-1, 10, 200, 25, 10, 493.91, 9.38773751, 44, 5.978308, 81587, 34.0, 31.0
base-unbalanced-1, 10, 200, 25, 10, 543.98, 7.70220057, , 0, , 43.8, 40.1
unbalanced-1, 10, 200, 25, 10, 829.38, 10.96629900, 29, 4.71423300000001, 53990, 47.4, 37.8
base-unbalanced-1, 10, 200, 25, 10, 607.85, 7.93321428, , 0, , 42.2, 39.4
unbalanced-1, 10, 200, 25, 10, 958.32, 11.58220581, 36, 5.43612, 66878, 47.4, 34.1
base-unbalanced-1, 10, 200, 25, 10, 536.18, 7.78362363, , 0, , 38.9, 36.2
unbalanced-1, 10, 200, 25, 10, 890.43, 11.36429308, 47, 5.62581400000001, 87130, 42.2, 39.1
base-unbalanced-1, 10, 200, 25, 10, 527.81, 7.77216667, , 0, , 37.9, 34.9
unbalanced-1, 10, 200, 25, 10, 793.48, 10.95436849, 34, 7.943161, 63238, 41.0, 37.5
base-unbalanced-1, 10, 200, 25, 10, 409.78, 6.98271790, , 0, , 34.5, 33.0
unbalanced-1, 10, 200, 25, 10, 497.80, 9.48050086, 87, 4.88884300000001, 160870, 36.9, 33.4
base-unbalanced-1, 10, 200, 25, 10, 423.16, 7.18884328, , 0, , 35.0, 32.5
unbalanced-1, 10, 200, 25, 10, 435.94, 9.19145115, 46, 2.71191, 85363, 38.9, 35.1
base-unbalanced-1, 10, 200, 25, 10, 419.79, 7.17510774, , 0, , 35.9, 32.2
unbalanced-1, 10, 200, 25, 10, 727.07, 10.16016139, 31, 9.10650600000001, 57636, 58.0, 37.8
base-unbalanced-1, 10, 200, 25, 10, 504.28, 7.59765206, , 0, , 59.5, 36.1
unbalanced-1, 10, 200, 25, 10, 625.15, 9.91286402, 37, 9.52252900000001, 68712, 43.6, 38.8
base-unbalanced-1, 10, 200, 25, 10, 453.96, 7.29896831, , 0, , 45.6, 45.0
unbalanced-1, 10, 200, 25, 10, 652.35, 10.12221801, 45, 5.77453200000001, 83429, 47.6, 42.1
base-unbalanced-1, 10, 200, 25, 10, 446.44, 7.25155379, , 0, , 40.8, 35.6
unbalanced-1, 10, 200, 25, 10, 686.62, 10.15840802, 35, 2.15934700000001, 64907, 39.6, 33.0
base-unbalanced-1, 10, 200, 25, 10, 405.79, 7.06859668, , 0, , 37.9, 34.0
unbalanced-1, 10, 200, 25, 10, 514.90, 9.55051909, 38, 8.467303, 70393, 41.5, 36.1
base-unbalanced-1, 10, 200, 25, 10, 391.44, 6.95283152, , 0, , 39.4, 34.6
unbalanced-1, 10, 200, 25, 10, 479.93, 9.38193116, 61, 4.674209, 113096, 41.5, 38.2
base-unbalanced-1, 10, 200, 25, 10, 471.67, 7.32480771, , 0, , 40.8, 43.2
unbalanced-1, 10, 200, 25, 10, 453.13, 9.28901621, 42, 3.348693, 77951, 43.0, 37.5
base-unbalanced-1, 10, 200, 25, 10, 406.97, 7.09375525, , 0, , 40.8, 40.1
unbalanced-1, 10, 200, 25, 10, 694.67, 10.21390612, 65, 7.385687, 120163, 42.0, 38.2
base-unbalanced-1, 10, 200, 25, 10, 567.34, 7.49447558, , 0, , 46.8, 46.6
unbalanced-1, 10, 200, 25, 10, 726.97, 10.18651804, 59, 5.812521, 109357, 43.5, 40.9
base-unbalanced-1, 10, 200, 25, 10, 542.94, 7.51840193, , 0, , 46.8, 40.6
unbalanced-1, 10, 200, 25, 10, 600.17, 9.68226964, 31, 7.88364900000001, 57737, 37.4, 33.9
base-unbalanced-1, 10, 200, 25, 10, 338.08, 6.85902141, , 0, , 47.1, 40.9
unbalanced-1, 10, 200, 25, 10, 687.13, 10.18550323, 73, 4.99082900000001, 135003, 37.6, 35.1
base-unbalanced-1, 10, 200, 25, 10, 492.82, 7.26045876, , 0, , 50.4, 43.2
unbalanced-1, 10, 200, 25, 10, 541.78, 9.59056730, 33, 3.617526, 61229, 42.8, 40.4
base-unbalanced-1, 10, 200, 25, 10, 521.85, 7.50344102, , 0, , 39.6, 35.9
base-unbalanced-1, 5, 400, 10, 10, 535.09, 7.45731749, , 0, , 41.2, 39.2
unbalanced-1, 5, 400, 10, 10, 610.52, 9.64184592, 36, 0.145211000000003, 134366, 46.8, 41.6
base-unbalanced-1, 5, 400, 10, 10, 428.99, 6.97644337, , 0, , 43.2, 39.4
